iter	Passed	Remaining
442	1202	1512
443	1204	1508
444	1207	1505
445	1209	1502
446	1211	1499
447	1213	1495
448	1216	1492
449	1218	1488
450	1220	1485
451	1222	1482
452	1228	1483
453	1231	1481
454	1234	1478
455	1236	1475
456	1239	1472
457	1242	1470
458	1245	1468
459	1247	1464
460	1250	1461
461	1252	1458
462	1254	1455
463	1257	1453
464	1260	1450
465	1262	1447
466	1265	1444
467	1267	1440
468	1270	1437
469	1272	1435
470	1275	1432
471	1277	1429
472	1279	1426
473	1282	1423
474	1284	1419
475	1287	1417
476	1291	1415
477	1293	1412
478	1295	1409
479	1298	1406
480	1300	1402
481	1302	1400
482	1305	1397
483	1307	1394
484	1309	1390
485	1312	1387
486	1314	1384
487	1316	1380
488	1319	1378
489	1321	1375
490	1323	1372
491	1325	1368
492	1327	1365
493	1329	1362
494	1331	1358
495	1334	1356
496	1338	1354
497	1340	1351
498	1342	1348
499	1344	1344
500	1346	1341
501	1349	1338
502	1352	1336
503	1354	1333
504	1357	1330
505	1359	1326
506	1361	1323
507	1363	1320
508	1367	1318
509	1369	1315
510	1371	1312
511	1373	1309
512	1376	1306
513	1378	1303
514	1380	1300
515	1383	1298
516	1386	1295
517	1388	1292
518	1390	1288
519	1393	1285
520	1395	1282
521	1398	1280
522	1400	1277
523	1402	1274
524	1405	1271
525	1407	1268
526	1409	1265
527	1413	1263
528	1415	1260
529	1417	1257
530	1420	1254
531	1422	1251
532	1424	1248
533	1426	1244
534	1438	1250
535	1440	1246
536	1442	1243
537	1444	1240
538	1447	1237
539	1449	1234
540	1451	1231
541	1453	1228
542	1455	1225
543	1457	1221
544	1459	1218
545	1462	1216
546	1464	1212
547	1466	1209
548	1468	1206
549	1470	1203
550	1472	1200
551	1474	1196
552	1477	1194
553	1480	1191
554	1482	1188
555	1485	1185
556	1487	1182
557	1488	1179
558	1491	1176
559	1493	1173
560	1496	1170
561	1498	1167
562	1500	1164
563	1502	1161
564	1504	1158
565	1506	1154
566	1508	1152
567	1511	1149
568	1513	1146
569	1515	1143
570	1517	1140
571	1519	1137
572	1521	1134
573	1524	1131
574	1526	1128
575	1529	1125
576	1531	1122
577	1533	1119
578	1535	1116
579	1537	1113
580	1539	1109
581	1541	1107
582	1544	1104
583	1546	1101
584	1548	1098
585	1550	1095
586	1552	1092
587	1554	1089
588	1557	1086
589	1559	1083
590	1561	1080
591	1563	1077
592	1565	1074
593	1567	1071
594	1569	1068
595	1610	1091
596	1618	1092
597	1625	1092
598	1629	1091
599	1634	1089
600	1637	1087
601	1640	1084
602	1643	1082
603	1646	1079
604	1649	1076
605	1652	1074
606	1654	1071
607	1656	1068
608	1658	1065
609	1661	1062
610	1663	1058
611	1665	1055
612	1667	1052
613	1683	1058
614	1693	1060
615	1699	1059
616	1705	1058
617	1709	1056
618	1713	1054
619	1717	1052
620	1720	1049
621	1723	1047
622	1726	1044
623	1728	1041
624	1731	1038
625	1734	1036
626	1736	1033
627	1739	1030
628	1741	1026
629	1743	1023
630	1745	1020
631	1747	1017
632	1750	1014
633	1752	1011
634	1753	1008
635	1755	1004
636	1757	1001
637	1759	998
638	1761	995
639	1764	992
640	1766	989
641	1768	986
642	1770	983
643	1772	979
644	1774	976
645	1776	973
646	1778	970
647	1781	967
648	1783	964
649	1785	961
650	1787	958
651	1789	955
652	1791	952
653	1793	948
654	1795	945
655	1798	942
656	1800	939
657	1802	936
658	1804	933
659	1806	930
660	1808	927
661	1810	924
662	1813	921
663	1815	918
664	1817	915
665	1819	912
666	1821	909
667	1823	906
668	1825	903
669	1827	900
670	1830	897
671	1832	894
672	1834	891
673	1836	888
674	1838	885
675	1840	882
676	1843	879
677	1845	876
678	1847	873
679	1849	870
680	1851	867
681	1854	864
682	1855	861
683	1857	858
684	1860	855
685	1862	852
686	1864	849
687	1866	846
688	1868	843
689	1870	840
690	1872	837
691	1874	834
692	1877	831
693	1878	828
694	1881	825
695	1883	822
696	1885	819
697	1887	816
698	1889	813
699	1891	810
700	1894	807
701	1896	804
702	1898	801
703	1900	799
704	1902	796
705	1904	793
706	1907	790
707	1909	787
708	1911	784
709	1913	781
710	1915	778
711	1917	775
712	1919	772
713	1921	769
714	1923	766
715	1925	763
716	1928	760
717	1930	758
718	1932	755
719	1934	752
720	1936	749
721	1938	746
722	1940	743
723	1942	740
724	1944	737
725	1946	734
726	1948	731
727	1950	728
728	1952	725
729	1955	723
730	1957	720
731	1959	717
732	1961	714
733	1963	711
734	1965	708
735	1967	705
736	1968	702
